final_value,cumulative_return,annual_return,max_drawdown,sharpe_ratio,bh_final_value,bh_cumulative_return,bh_max_drawdown,bh_sharpe_ratio,buy_count,sell_count,stock,short_window,long_window,param
154965.59999999998,0.5496559999999998,0.5963665193529182,-0.23609988756765496,1.1573910587554084,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,7,7,中芯国际,5,15,MA5/MA15
138814.44999999995,0.38814449999999956,0.41935576131412033,-0.24673976184151888,0.9100085206972327,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,6,6,中芯国际,5,20,MA5/MA20
149895.68,0.4989567999999999,0.5406607651453899,-0.2437174774006784,1.1147333359271212,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,4,4,中芯国际,10,20,MA10/MA20
125241.77000000002,0.2524177000000002,0.2716753729959911,-0.21831897674500456,0.6937276375009673,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,4,4,中芯国际,10,30,MA10/MA30
161022.68000000002,0.6102268000000002,0.6630805763288476,-0.21842665376991027,1.219629183201278,163504.15,0.6350414999999999,-0.34494589375205337,1.1852128473943653,4,3,中芯国际,5,30,MA5/MA30
100267.44,0.0026744000000000234,0.005231070172484031,-0.07139268979763182,-0.08435169587999827,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,3,3,三一重工,5,15,MA5/MA15
102964.84000000003,0.029648400000000255,0.05873608215803028,-0.053085227189282526,0.38865745914194166,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,2,2,三一重工,5,20,MA5/MA20
102415.96,0.024159600000000066,0.047738890663298506,-0.05449956107042906,0.29418626266152104,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,2,2,三一重工,10,20,MA10/MA20
93027.46,-0.06972539999999994,-0.13167506521824746,-0.08460892654157515,-2.507129395543134,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,2,2,三一重工,10,30,MA10/MA30
98490.77,-0.01509229999999996,-0.029270450280635463,-0.05099702910438592,-0.5694640696999755,118642.54000000001,0.18642540000000007,-0.15092220854645147,1.341519570418263,2,2,三一重工,5,30,MA5/MA30
112665.30000000003,0.12665300000000032,0.08413575707012155,-0.18865457884879402,0.4055368261888722,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,18,18,平安集团,5,15,MA5/MA15
114193.20000000004,0.14193200000000042,0.09407379585410247,-0.13749506648626392,0.5018398603133668,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,11,12,平安集团,5,20,MA5/MA20
97158.04000000005,-0.028419599999999483,-0.019341358734167202,-0.21092494349756935,-0.15951123164945377,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,10,10,平安集团,10,20,MA10/MA20
99291.45000000001,-0.0070854999999998836,-0.004805357426803769,-0.14643327921509272,-0.070691302931891,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,8,8,平安集团,10,30,MA10/MA30
114999.82999999999,0.14999829999999986,0.09930311083524423,-0.12777686826670148,0.5231299899837067,136696.65999999997,0.36696659999999975,-0.1692461499748402,0.9265974279939383,7,7,平安集团,5,30,MA5/MA30
88814.87000000001,-0.1118512999999999,-0.05989037980873091,-0.21095117680520883,-0.4453582551523875,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,18,18,贵州茅台,5,15,MA5/MA15
75270.80999999995,-0.24729190000000045,-0.1374897649322928,-0.2891350944654919,-1.1117329194143657,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,16,16,贵州茅台,5,20,MA5/MA20
68776.04,-0.31223960000000006,-0.1770757754179213,-0.31382360000000015,-1.5949395555432895,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,15,15,贵州茅台,10,20,MA10/MA20
69358.95999999999,-0.3064104000000001,-0.17345161518504482,-0.31205520000000003,-1.482632955586315,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,10,10,贵州茅台,10,30,MA10/MA30
80137.56,-0.19862440000000003,-0.10889023992427249,-0.2552650521973616,-0.8290019008541998,82516.52,-0.17483479999999996,-0.32984377004112786,-0.37295984688247363,11,11,贵州茅台,5,30,MA5/MA30
163431.2900000001,0.634312900000001,0.2914433389381059,-0.33157317595118607,0.8393525939227798,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,16,17,宁德时代,5,15,MA5/MA15
156978.29999999993,0.5697829999999993,0.2646375822843343,-0.2835246259926554,0.7856160096020104,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,13,13,宁德时代,5,20,MA5/MA20
154641.36000000004,0.5464136000000004,0.25480002138970415,-0.2508288214624607,0.7644199736211947,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,12,12,宁德时代,10,20,MA10/MA20
154782.95999999996,0.5478295999999996,0.25539811892521547,-0.2446081833057329,0.7599994334839781,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,10,10,宁德时代,10,30,MA10/MA30
176361.96,0.7636196,0.3436726243088948,-0.22550849955782648,0.9492132477779099,196867.0,0.96867,-0.2927212629017746,1.0069140942512056,11,11,宁德时代,5,30,MA5/MA30
42716.85999999999,-0.5728314000000001,-0.35780426751526573,-0.7441338151997389,-0.3740169127044184,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,16,15,比亚迪,5,15,MA5/MA15
33724.71999999999,-0.6627528000000001,-0.43216645757804495,-0.7913220522118904,-0.6083845665620669,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,17,16,比亚迪,5,20,MA5/MA20
32421.439999999966,-0.6757856000000003,-0.44369959077150223,-0.8014365216133564,-0.6352351147044791,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,13,13,比亚迪,10,20,MA10/MA20
140834.33999999997,0.4083433999999997,0.1951619890941907,-0.2638422771945101,0.7711385220611376,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,9,9,比亚迪,10,30,MA10/MA30
37305.639999999956,-0.6269436000000005,-0.4015338198392012,-0.7684829912108927,-0.5196075210912289,35591.3,-0.644087,-0.8067053168958412,-0.4652659306655013,13,13,比亚迪,5,30,MA5/MA30
